Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergy_score
LENALIDOMIDE,IXABEPILONE,786O,DB00480,DB04845,-0.5,0
ZOLEDRONIC ACID,METHOXSALEN,786O,DB00399,DB00553,-0.49,0
DACARBAZINE,IXABEPILONE,786O,DB00851,DB04845,-0.49,0
5-FU,LETROZOLE,786O,DB00544,DB01006,-0.48,0
VISMODEGIB,PAZOPANIB HYDROCHLORIDE,786O,DB08828,DB06589,-0.48,0
IMIQUIMOD,ERLOTINIB HYDROCHLORIDE,786O,DB00724,DB00530,-0.47,0
VANDETANIB,LETROZOLE,786O,DB05294,DB01006,-0.47,0
CRIZOTINIB,LETROZOLE,786O,DB08865,DB01006,-0.46,0
DASATINIB,ERLOTINIB HYDROCHLORIDE,786O,DB01254,DB00530,-0.45,0
SUNITINIB,MERCAPTOPURINE,786O,DB01268,DB01033,-0.45,0
FULVESTRANT,MERCAPTOPURINE,786O,DB00947,DB01033,-0.45,0
LETROZOLE,IMIQUIMOD,786O,DB01006,DB00724,-0.45,0
PRALATREXATE,MERCAPTOPURINE,786O,DB06813,DB01033,-0.45,0
SORAFENIB,MERCAPTOPURINE,786O,DB00398,DB01033,-0.45,0
RUXOLITINIB,CRIZOTINIB,786O,DB08877,DB08865,-0.45,0
LAPATINIB,ARSENIC TRIOXIDE,786O,DB01259,DB01169,-0.44,0
VEMURAFENIB,RALOXIFENE,786O,DB08881,DB00481,-0.44,0
RUXOLITINIB,METHOTREXATE,786O,DB08877,DB00563,-0.43,0
RALOXIFENE,RUXOLITINIB,786O,DB00481,DB08877,-0.42,0
RALOXIFENE,BLEOMYCIN,786O,DB00481,DB00290,-0.41,0
CRIZOTINIB,IXABEPILONE,786O,DB08865,DB04845,-0.41,0
DACARBAZINE,LAPATINIB,786O,DB00851,DB01259,-0.41,0
LETROZOLE,TOPOTECAN HYDROCHLORIDE,786O,DB01006,DB01030,-0.4,0
SORAFENIB,THALIDOMIDE,786O,DB00398,DB01041,-0.4,0
RALOXIFENE,IXABEPILONE,786O,DB00481,DB04845,-0.39,0
HYDROXYUREA,FULVESTRANT,786O,DB01005,DB00947,-0.39,0
VANDETANIB,IMATINIB,786O,DB05294,DB00619,-0.39,0
LENALIDOMIDE,SUNITINIB,786O,DB00480,DB01268,-0.39,0
DOCETAXEL,THALIDOMIDE,786O,DB01248,DB01041,-0.38,0
DEXRAZOXANE,DAUNORUBICIN HYDROCHLORIDE,786O,DB00380,DB00694,-0.38,0
SUNITINIB,METHOXSALEN,786O,DB01268,DB00553,-0.37,0
TENIPOSIDE,VEMURAFENIB,786O,DB00444,DB08881,-0.37,0
TOPOTECAN HYDROCHLORIDE,IXABEPILONE,786O,DB01030,DB04845,-0.36,0
ABIRATERONE,PEMETREXED,786O,DB05812,DB00642,-0.36,0
CRIZOTINIB,RALOXIFENE,786O,DB08865,DB00481,-0.36,0
LAPATINIB,MERCAPTOPURINE,786O,DB01259,DB01033,-0.35,0
NILOTINIB,TOPOTECAN HYDROCHLORIDE,786O,DB04868,DB01030,-0.35,0
HYDROXYUREA,METHOXSALEN,786O,DB01005,DB00553,-0.34,0
NILOTINIB,MITOTANE,786O,DB04868,DB00648,-0.34,0
FLUDARABINE BASE,ZOLEDRONIC ACID,786O,DB01073,DB00399,-0.34,0
RALOXIFENE,5-FU,786O,DB00481,DB00544,-0.34,0
MEGESTROL ACETATE,TAMOXIFEN CITRATE,786O,DB00351,DB00675,-0.34,0
MEGESTROL ACETATE,ANASTROZOLE,786O,DB00351,DB01217,-0.34,0
MITOTANE,MERCAPTOPURINE,786O,DB00648,DB01033,-0.33,0
DASATINIB,BORTEZOMIB,786O,DB01254,DB00188,-0.32,0
RUXOLITINIB,LAPATINIB,786O,DB08877,DB01259,-0.32,0
RALOXIFENE,PRALATREXATE,786O,DB00481,DB06813,-0.31,0
LAPATINIB,ANASTROZOLE,786O,DB01259,DB01217,-0.3,0
FULVESTRANT,IMIQUIMOD,786O,DB00947,DB00724,-0.3,0
VEMURAFENIB,IMIQUIMOD,786O,DB08881,DB00724,-0.3,0
FLUDARABINE BASE,IXABEPILONE,786O,DB01073,DB04845,-0.29,0
LOMUSTINE,DACARBAZINE,786O,DB01206,DB00851,-0.29,0
RALOXIFENE,METHOXSALEN,786O,DB00481,DB00553,-0.27,0
TAMOXIFEN CITRATE,FULVESTRANT,786O,DB00675,DB00947,-0.26,0
PAZOPANIB HYDROCHLORIDE,DACARBAZINE,786O,DB06589,DB00851,-0.26,0
MEGESTROL ACETATE,HYDROXYUREA,786O,DB00351,DB01005,-0.25,0
MITOXANTRONE,BORTEZOMIB,786O,DB01204,DB00188,-0.24,0
RALOXIFENE,LOMUSTINE,786O,DB00481,DB01206,-0.23,0
MERCAPTOPURINE,ALLOPURINOL,786O,DB01033,DB00437,-0.23,0
DAUNORUBICIN HYDROCHLORIDE,BLEOMYCIN,786O,DB00694,DB00290,-0.22,0
RALOXIFENE,TENIPOSIDE,786O,DB00481,DB00444,-0.19,0
SORAFENIB,AMIFOSTINE,786O,DB00398,DB01143,-0.19,0
FLUDARABINE BASE,AZACYTIDINE,786O,DB01073,DB00928,-0.19,0
FLUDARABINE BASE,IMATINIB,786O,DB01073,DB00619,-0.19,0
CELECOXIB,ARSENIC TRIOXIDE,786O,DB00482,DB01169,-0.18,0
DOCETAXEL,DASATINIB,786O,DB01248,DB01254,-0.18,0
TAMOXIFEN CITRATE,AMIFOSTINE,786O,DB00675,DB01143,-0.18,0
CRIZOTINIB,PAZOPANIB HYDROCHLORIDE,786O,DB08865,DB06589,-0.18,0
DASATINIB,FULVESTRANT,786O,DB01254,DB00947,-0.16,0
ANASTROZOLE,METHOXSALEN,786O,DB01217,DB00553,-0.16,0
PAZOPANIB HYDROCHLORIDE,IMIQUIMOD,786O,DB06589,DB00724,-0.16,0
RALOXIFENE,MEGESTROL ACETATE,786O,DB00481,DB00351,-0.15,0
FLUDARABINE BASE,SUNITINIB,786O,DB01073,DB01268,-0.15,0
VANDETANIB,FULVESTRANT,786O,DB05294,DB00947,-0.15,0
HYDROXYUREA,ERLOTINIB HYDROCHLORIDE,786O,DB01005,DB00530,-0.14,0
TENIPOSIDE,CYTARABINE HYDROCHLORIDE,786O,DB00444,DB00987,-0.14,0
MITOTANE,PRALATREXATE,786O,DB00648,DB06813,-0.13,0
TAMOXIFEN CITRATE,IMATINIB,786O,DB00675,DB00619,-0.13,0
MEGESTROL ACETATE,DOCETAXEL,786O,DB00351,DB01248,-0.11,0
5-FU,IMIQUIMOD,786O,DB00544,DB00724,-0.11,0
TAMOXIFEN CITRATE,ZOLEDRONIC ACID,786O,DB00675,DB00399,-0.1,0
METHOTREXATE,MERCAPTOPURINE,786O,DB00563,DB01033,-0.1,0
VANDETANIB,TOPOTECAN HYDROCHLORIDE,786O,DB05294,DB01030,-0.1,0
PAZOPANIB HYDROCHLORIDE,TRETINOIN,786O,DB06589,DB00755,-0.07,0
CELECOXIB,CYTARABINE HYDROCHLORIDE,786O,DB00482,DB00987,-0.06,0
DOCETAXEL,MITOTANE,786O,DB01248,DB00648,-0.06,0
PACLITAXEL,CARMUSTINE,786O,DB01229,DB00262,-0.06,0
VEMURAFENIB,METHOXSALEN,786O,DB08881,DB00553,-0.06,0
VEMURAFENIB,METHOTREXATE,786O,DB08881,DB00563,-0.06,0
VEMURAFENIB,FLUDARABINE BASE,786O,DB08881,DB01073,-0.05,0
SORAFENIB,METHOXSALEN,786O,DB00398,DB00553,-0.04,0
SORAFENIB,ALLOPURINOL,786O,DB00398,DB00437,-0.03,0
SORAFENIB,ARSENIC TRIOXIDE,786O,DB00398,DB01169,-0.03,0
VEMURAFENIB,MEGESTROL ACETATE,786O,DB08881,DB00351,-0.03,0
FLUDARABINE BASE,ALLOPURINOL,786O,DB01073,DB00437,-0.02,0
VANDETANIB,ALLOPURINOL,786O,DB05294,DB00437,-0.02,0
FULVESTRANT,PRALATREXATE,786O,DB00947,DB06813,-0.01,0
NILOTINIB,METHOXSALEN,786O,DB04868,DB00553,-0.01,0
PAZOPANIB HYDROCHLORIDE,NILOTINIB,786O,DB06589,DB04868,-0.01,0
PEMETREXED,SUNITINIB,786O,DB00642,DB01268,0,0
CRIZOTINIB,LAPATINIB,786O,DB08865,DB01259,0.01,1
ALLOPURINOL,THALIDOMIDE,786O,DB00437,DB01041,0.02,1
VEMURAFENIB,TRETINOIN,786O,DB08881,DB00755,0.02,1
VEMURAFENIB,ALLOPURINOL,786O,DB08881,DB00437,0.02,1
5-FU,CELECOXIB,786O,DB00544,DB00482,0.03,1
CELECOXIB,THALIDOMIDE,786O,DB00482,DB01041,0.04,1
FULVESTRANT,METHOXSALEN,786O,DB00947,DB00553,0.04,1
LETROZOLE,SUNITINIB,786O,DB01006,DB01268,0.05,1
CELECOXIB,FULVESTRANT,786O,DB00482,DB00947,0.05,1
VEMURAFENIB,ERLOTINIB HYDROCHLORIDE,786O,DB08881,DB00530,0.05,1
SUNITINIB,ALLOPURINOL,786O,DB01268,DB00437,0.06,1
RUXOLITINIB,FLUDARABINE BASE,786O,DB08877,DB01073,0.07,1
RUXOLITINIB,METHOXSALEN,786O,DB08877,DB00553,0.07,1
LETROZOLE,MITOTANE,786O,DB01006,DB00648,0.08,1
MEGESTROL ACETATE,TOPOTECAN HYDROCHLORIDE,786O,DB00351,DB01030,0.08,1
RUXOLITINIB,DASATINIB,786O,DB08877,DB01254,0.1,1
RALOXIFENE,DOCETAXEL,786O,DB00481,DB01248,0.11,1
DEXRAZOXANE,AMIFOSTINE,786O,DB00380,DB01143,0.11,1
CRIZOTINIB,CARMUSTINE,786O,DB08865,DB00262,0.12,1
PEMETREXED,MITOXANTRONE,786O,DB00642,DB01204,0.12,1
RUXOLITINIB,SUNITINIB,786O,DB08877,DB01268,0.12,1
LAPATINIB,SUNITINIB,786O,DB01259,DB01268,0.13,1
PAZOPANIB HYDROCHLORIDE,5-FU,786O,DB06589,DB00544,0.13,1
MITOXANTRONE,ANASTROZOLE,786O,DB01204,DB01217,0.14,1
TAMOXIFEN CITRATE,ALLOPURINOL,786O,DB00675,DB00437,0.15,1
DACARBAZINE,TRETINOIN,786O,DB00851,DB00755,0.15,1
SORAFENIB,IMIQUIMOD,786O,DB00398,DB00724,0.16,1
DASATINIB,ANASTROZOLE,786O,DB01254,DB01217,0.16,1
CELECOXIB,ANASTROZOLE,786O,DB00482,DB01217,0.17,1
MERCAPTOPURINE,BORTEZOMIB,786O,DB01033,DB00188,0.18,1
PEMETREXED,DOCETAXEL,786O,DB00642,DB01248,0.18,1
HYDROXYUREA,ARSENIC TRIOXIDE,786O,DB01005,DB01169,0.2,1
ALLOPURINOL,IMIQUIMOD,786O,DB00437,DB00724,0.2,1
MEGESTROL ACETATE,BORTEZOMIB,786O,DB00351,DB00188,0.2,1
ALLOPURINOL,METHOXSALEN,786O,DB00437,DB00553,0.21,1
CARMUSTINE,BORTEZOMIB,786O,DB00262,DB00188,0.21,1
5-FU,ERLOTINIB HYDROCHLORIDE,786O,DB00544,DB00530,0.21,1
ZOLEDRONIC ACID,ANASTROZOLE,786O,DB00399,DB01217,0.22,1
CRIZOTINIB,TRETINOIN,786O,DB08865,DB00755,0.22,1
RALOXIFENE,QUINACRINE HYDROCHLORIDE,786O,DB00481,DB01103,0.23,1
PEMETREXED,VEMURAFENIB,786O,DB00642,DB08881,0.23,1
TAMOXIFEN CITRATE,ERLOTINIB HYDROCHLORIDE,786O,DB00675,DB00530,0.24,1
LAPATINIB,MITOTANE,786O,DB01259,DB00648,0.25,1
TRETINOIN,IMATINIB,786O,DB00755,DB00619,0.25,1
ANASTROZOLE,ARSENIC TRIOXIDE,786O,DB01217,DB01169,0.25,1
TRETINOIN,MITOTANE,786O,DB00755,DB00648,0.25,1
CELECOXIB,TRETINOIN,786O,DB00482,DB00755,0.26,1
CRIZOTINIB,FULVESTRANT,786O,DB08865,DB00947,0.26,1
LENALIDOMIDE,LOMUSTINE,786O,DB00480,DB01206,0.26,1
RALOXIFENE,HYDROXYUREA,786O,DB00481,DB01005,0.27,1
CARMUSTINE,AMIFOSTINE,786O,DB00262,DB01143,0.28,1
SORAFENIB,TOPOTECAN HYDROCHLORIDE,786O,DB00398,DB01030,0.3,1
DACARBAZINE,FLUDARABINE BASE,786O,DB00851,DB01073,0.32,1
MERCAPTOPURINE,IMIQUIMOD,786O,DB01033,DB00724,0.34,1
TENIPOSIDE,IMIQUIMOD,786O,DB00444,DB00724,0.34,1
MITOXANTRONE,IXABEPILONE,786O,DB01204,DB04845,0.34,1
VANDETANIB,THALIDOMIDE,786O,DB05294,DB01041,0.35,1
HYDROXYUREA,MERCAPTOPURINE,786O,DB01005,DB01033,0.36,1
FLUDARABINE BASE,TAMOXIFEN CITRATE,786O,DB01073,DB00675,0.36,1
LENALIDOMIDE,MITOXANTRONE,786O,DB00480,DB01204,0.36,1
VISMODEGIB,HYDROXYUREA,786O,DB08828,DB01005,0.36,1
CYTARABINE HYDROCHLORIDE,SORAFENIB,786O,DB00987,DB00398,0.37,1
PAZOPANIB HYDROCHLORIDE,VISMODEGIB,786O,DB06589,DB08828,0.37,1
MITOXANTRONE,METHOTREXATE,786O,DB01204,DB00563,0.38,1
MERCAPTOPURINE,IXABEPILONE,786O,DB01033,DB04845,0.38,1
FULVESTRANT,ZOLEDRONIC ACID,786O,DB00947,DB00399,0.38,1
RALOXIFENE,AMIFOSTINE,786O,DB00481,DB01143,0.38,1
ABIRATERONE,CRIZOTINIB,786O,DB05812,DB08865,0.38,1
CARMUSTINE,ARSENIC TRIOXIDE,786O,DB00262,DB01169,0.39,1
ZOLEDRONIC ACID,BORTEZOMIB,786O,DB00399,DB00188,0.4,1
CRIZOTINIB,MEGESTROL ACETATE,786O,DB08865,DB00351,0.41,1
PAZOPANIB HYDROCHLORIDE,CARMUSTINE,786O,DB06589,DB00262,0.41,1
ABIRATERONE,FULVESTRANT,786O,DB05812,DB00947,0.41,1
DOCETAXEL,SUNITINIB,786O,DB01248,DB01268,0.42,1
LETROZOLE,METHOXSALEN,786O,DB01006,DB00553,0.42,1
TAMOXIFEN CITRATE,SORAFENIB,786O,DB00675,DB00398,0.42,1
VISMODEGIB,TOPOTECAN HYDROCHLORIDE,786O,DB08828,DB01030,0.43,1
MITOXANTRONE,DEXRAZOXANE,786O,DB01204,DB00380,0.43,1
NILOTINIB,BORTEZOMIB,786O,DB04868,DB00188,0.44,1
CELECOXIB,IMIQUIMOD,786O,DB00482,DB00724,0.45,1
DACARBAZINE,FULVESTRANT,786O,DB00851,DB00947,0.46,1
LETROZOLE,BORTEZOMIB,786O,DB01006,DB00188,0.48,1
BORTEZOMIB,ARSENIC TRIOXIDE,786O,DB00188,DB01169,0.48,1
CRIZOTINIB,ANASTROZOLE,786O,DB08865,DB01217,0.48,1
RALOXIFENE,PAZOPANIB HYDROCHLORIDE,786O,DB00481,DB06589,0.49,1
ANASTROZOLE,DOCETAXEL,786O,DB01217,DB01248,0.49,1
MEGESTROL ACETATE,LAPATINIB,786O,DB00351,DB01259,0.51,1
PAZOPANIB HYDROCHLORIDE,FLUDARABINE BASE,786O,DB06589,DB01073,0.51,1
CRIZOTINIB,TOPOTECAN HYDROCHLORIDE,786O,DB08865,DB01030,0.51,1
DACARBAZINE,NILOTINIB,786O,DB00851,DB04868,0.53,1
MEGESTROL ACETATE,ALLOPURINOL,786O,DB00351,DB00437,0.53,1
FLUDARABINE BASE,DOCETAXEL,786O,DB01073,DB01248,0.54,1
HYDROXYUREA,THALIDOMIDE,786O,DB01005,DB01041,0.55,1
ALLOPURINOL,TOPOTECAN HYDROCHLORIDE,786O,DB00437,DB01030,0.55,1
PACLITAXEL,FULVESTRANT,786O,DB01229,DB00947,0.56,1
AZACYTIDINE,ANASTROZOLE,786O,DB00928,DB01217,0.56,1
RALOXIFENE,MITOTANE,786O,DB00481,DB00648,0.56,1
RALOXIFENE,CRIZOTINIB,786O,DB00481,DB08865,0.56,1
PACLITAXEL,ANASTROZOLE,786O,DB01229,DB01217,0.56,1
PAZOPANIB HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,786O,DB06589,DB01030,0.56,1
CRIZOTINIB,ALLOPURINOL,786O,DB08865,DB00437,0.57,1
VANDETANIB,AMIFOSTINE,786O,DB05294,DB01143,0.59,1
QUINACRINE HYDROCHLORIDE,AMIFOSTINE,786O,DB01103,DB01143,0.6,1
CRIZOTINIB,CYTARABINE HYDROCHLORIDE,786O,DB08865,DB00987,0.6,1
VEMURAFENIB,PEMETREXED,786O,DB08881,DB00642,0.6,1
CELECOXIB,CARMUSTINE,786O,DB00482,DB00262,0.61,1
NILOTINIB,FULVESTRANT,786O,DB04868,DB00947,0.61,1
SUNITINIB,MITOTANE,786O,DB01268,DB00648,0.62,1
TENIPOSIDE,FLUDARABINE BASE,786O,DB00444,DB01073,0.62,1
MEGESTROL ACETATE,CRIZOTINIB,786O,DB00351,DB08865,0.63,1
CRIZOTINIB,FLUDARABINE BASE,786O,DB08865,DB01073,0.63,1
DAUNORUBICIN HYDROCHLORIDE,LOMUSTINE,786O,DB00694,DB01206,0.64,1
LETROZOLE,IMATINIB,786O,DB01006,DB00619,0.65,1
DACARBAZINE,IMIQUIMOD,786O,DB00851,DB00724,0.65,1
PAZOPANIB HYDROCHLORIDE,RALOXIFENE,786O,DB06589,DB00481,0.65,1
PACLITAXEL,IMIQUIMOD,786O,DB01229,DB00724,0.67,1
MERCAPTOPURINE,AMIFOSTINE,786O,DB01033,DB01143,0.67,1
PAZOPANIB HYDROCHLORIDE,THALIDOMIDE,786O,DB06589,DB01041,0.68,1
TENIPOSIDE,ERLOTINIB HYDROCHLORIDE,786O,DB00444,DB00530,0.68,1
TENIPOSIDE,ANASTROZOLE,786O,DB00444,DB01217,0.68,1
CELECOXIB,NILOTINIB,786O,DB00482,DB04868,0.69,1
MEGESTROL ACETATE,IXABEPILONE,786O,DB00351,DB04845,0.69,1
PRALATREXATE,ALLOPURINOL,786O,DB06813,DB00437,0.7,1
DACARBAZINE,AZACYTIDINE,786O,DB00851,DB00928,0.7,1
PRALATREXATE,TOPOTECAN HYDROCHLORIDE,786O,DB06813,DB01030,0.71,1
IMATINIB,BORTEZOMIB,786O,DB00619,DB00188,0.72,1
DAUNORUBICIN HYDROCHLORIDE,AMIFOSTINE,786O,DB00694,DB01143,0.72,1
VEMURAFENIB,FULVESTRANT,786O,DB08881,DB00947,0.73,1
LOMUSTINE,MITOTANE,786O,DB01206,DB00648,0.74,1
MERCAPTOPURINE,METHOXSALEN,786O,DB01033,DB00553,0.77,1
RALOXIFENE,VEMURAFENIB,786O,DB00481,DB08881,0.77,1
MEGESTROL ACETATE,AZACYTIDINE,786O,DB00351,DB00928,0.77,1
TENIPOSIDE,QUINACRINE HYDROCHLORIDE,786O,DB00444,DB01103,0.78,1
METHOTREXATE,BORTEZOMIB,786O,DB00563,DB00188,0.79,1
VISMODEGIB,VANDETANIB,786O,DB08828,DB05294,0.79,1
GEFITINIB,ANASTROZOLE,786O,DB00317,DB01217,0.8,1
FLUDARABINE BASE,ANASTROZOLE,786O,DB01073,DB01217,0.81,1
VISMODEGIB,CYTARABINE HYDROCHLORIDE,786O,DB08828,DB00987,0.82,1
TENIPOSIDE,AZACYTIDINE,786O,DB00444,DB00928,0.82,1
NILOTINIB,ANASTROZOLE,786O,DB04868,DB01217,0.83,1
RALOXIFENE,AZACYTIDINE,786O,DB00481,DB00928,0.83,1
SUNITINIB,ZOLEDRONIC ACID,786O,DB01268,DB00399,0.83,1
TENIPOSIDE,TRETINOIN,786O,DB00444,DB00755,0.83,1
RUXOLITINIB,AMIFOSTINE,786O,DB08877,DB01143,0.83,1
RALOXIFENE,NILOTINIB,786O,DB00481,DB04868,0.85,1
PAZOPANIB HYDROCHLORIDE,METHOXSALEN,786O,DB06589,DB00553,0.85,1
FLUDARABINE BASE,BORTEZOMIB,786O,DB01073,DB00188,0.86,1
ANASTROZOLE,ALLOPURINOL,786O,DB01217,DB00437,0.87,1
MITOXANTRONE,FULVESTRANT,786O,DB01204,DB00947,0.87,1
CYTARABINE HYDROCHLORIDE,NILOTINIB,786O,DB00987,DB04868,0.89,1
MITOTANE,BORTEZOMIB,786O,DB00648,DB00188,0.89,1
LENALIDOMIDE,METHOTREXATE,786O,DB00480,DB00563,0.9,1
SORAFENIB,ANASTROZOLE,786O,DB00398,DB01217,0.91,1
CELECOXIB,HYDROXYUREA,786O,DB00482,DB01005,0.91,1
CABAZITAXEL,DASATINIB,786O,DB06772,DB01254,0.91,1
TENIPOSIDE,THALIDOMIDE,786O,DB00444,DB01041,0.91,1
VANDETANIB,AZACYTIDINE,786O,DB05294,DB00928,0.91,1
RALOXIFENE,DAUNORUBICIN HYDROCHLORIDE,786O,DB00481,DB00694,0.93,1
SUNITINIB,ANASTROZOLE,786O,DB01268,DB01217,0.93,1
FLUDARABINE BASE,SORAFENIB,786O,DB01073,DB00398,0.93,1
SUNITINIB,AMIFOSTINE,786O,DB01268,DB01143,0.94,1
THALIDOMIDE,IMIQUIMOD,786O,DB01041,DB00724,0.94,1
LETROZOLE,AMIFOSTINE,786O,DB01006,DB01143,0.94,1
MITOXANTRONE,VEMURAFENIB,786O,DB01204,DB08881,0.94,1
PRALATREXATE,METHOXSALEN,786O,DB06813,DB00553,0.95,1
RALOXIFENE,LAPATINIB,786O,DB00481,DB01259,0.95,1
TENIPOSIDE,SUNITINIB,786O,DB00444,DB01268,0.95,1
TOPOTECAN HYDROCHLORIDE,BORTEZOMIB,786O,DB01030,DB00188,0.97,1
RALOXIFENE,ERLOTINIB HYDROCHLORIDE,786O,DB00481,DB00530,0.97,1
VEMURAFENIB,CARMUSTINE,786O,DB08881,DB00262,0.97,1
ABIRATERONE,MITOTANE,786O,DB05812,DB00648,0.97,1
CRIZOTINIB,IMIQUIMOD,786O,DB08865,DB00724,0.99,1
LOMUSTINE,METHOXSALEN,786O,DB01206,DB00553,1,1
CELECOXIB,TOPOTECAN HYDROCHLORIDE,786O,DB00482,DB01030,1.01,1
PEMETREXED,AMIFOSTINE,786O,DB00642,DB01143,1.01,1
CRIZOTINIB,AZACYTIDINE,786O,DB08865,DB00928,1.02,1
TRETINOIN,FULVESTRANT,786O,DB00755,DB00947,1.04,1
TENIPOSIDE,NILOTINIB,786O,DB00444,DB04868,1.04,1
TENIPOSIDE,CRIZOTINIB,786O,DB00444,DB08865,1.05,1
TAMOXIFEN CITRATE,ANASTROZOLE,786O,DB00675,DB01217,1.06,1
MITOTANE,AMIFOSTINE,786O,DB00648,DB01143,1.06,1
FLUDARABINE BASE,TRETINOIN,786O,DB01073,DB00755,1.06,1
RUXOLITINIB,IXABEPILONE,786O,DB08877,DB04845,1.06,1
LENALIDOMIDE,5-FU,786O,DB00480,DB00544,1.07,1
MERCAPTOPURINE,ARSENIC TRIOXIDE,786O,DB01033,DB01169,1.08,1
MERCAPTOPURINE,THALIDOMIDE,786O,DB01033,DB01041,1.08,1
MEGESTROL ACETATE,BLEOMYCIN,786O,DB00351,DB00290,1.08,1
FULVESTRANT,ALLOPURINOL,786O,DB00947,DB00437,1.09,1
LOMUSTINE,METHOTREXATE,786O,DB01206,DB00563,1.1,1
VEMURAFENIB,SUNITINIB,786O,DB08881,DB01268,1.1,1
TRETINOIN,TAMOXIFEN CITRATE,786O,DB00755,DB00675,1.11,1
PACLITAXEL,TOPOTECAN HYDROCHLORIDE,786O,DB01229,DB01030,1.11,1
PAZOPANIB HYDROCHLORIDE,SUNITINIB,786O,DB06589,DB01268,1.12,1
TENIPOSIDE,IMATINIB,786O,DB00444,DB00619,1.13,1
MITOXANTRONE,TRETINOIN,786O,DB01204,DB00755,1.14,1
CELECOXIB,METHOXSALEN,786O,DB00482,DB00553,1.15,1
NILOTINIB,PRALATREXATE,786O,DB04868,DB06813,1.15,1
CRIZOTINIB,METHOXSALEN,786O,DB08865,DB00553,1.16,1
HYDROXYUREA,ALLOPURINOL,786O,DB01005,DB00437,1.17,1
MITOTANE,ALLOPURINOL,786O,DB00648,DB00437,1.17,1
PEMETREXED,FLUDARABINE BASE,786O,DB00642,DB01073,1.17,1
DACARBAZINE,SUNITINIB,786O,DB00851,DB01268,1.18,1
METHOXSALEN,IMIQUIMOD,786O,DB00553,DB00724,1.19,1
CELECOXIB,PRALATREXATE,786O,DB00482,DB06813,1.19,1
VANDETANIB,SUNITINIB,786O,DB05294,DB01268,1.19,1
MITOXANTRONE,ERLOTINIB HYDROCHLORIDE,786O,DB01204,DB00530,1.21,1
CRIZOTINIB,CABAZITAXEL,786O,DB08865,DB06772,1.21,1
CRIZOTINIB,5-FU,786O,DB08865,DB00544,1.23,1
DAUNORUBICIN HYDROCHLORIDE,METHOTREXATE,786O,DB00694,DB00563,1.24,1
TENIPOSIDE,DAUNORUBICIN HYDROCHLORIDE,786O,DB00444,DB00694,1.26,1
RUXOLITINIB,RALOXIFENE,786O,DB08877,DB00481,1.28,1
LETROZOLE,ANASTROZOLE,786O,DB01006,DB01217,1.29,1
FLUDARABINE BASE,FULVESTRANT,786O,DB01073,DB00947,1.3,1
PAZOPANIB HYDROCHLORIDE,METHOTREXATE,786O,DB06589,DB00563,1.31,1
MEGESTROL ACETATE,MITOTANE,786O,DB00351,DB00648,1.34,1
METHOXSALEN,ARSENIC TRIOXIDE,786O,DB00553,DB01169,1.35,1
PAZOPANIB HYDROCHLORIDE,FULVESTRANT,786O,DB06589,DB00947,1.36,1
MEGESTROL ACETATE,THALIDOMIDE,786O,DB00351,DB01041,1.38,1
LETROZOLE,TAMOXIFEN CITRATE,786O,DB01006,DB00675,1.39,1
LETROZOLE,ALLOPURINOL,786O,DB01006,DB00437,1.4,1
MEGESTROL ACETATE,FULVESTRANT,786O,DB00351,DB00947,1.4,1
PACLITAXEL,MITOTANE,786O,DB01229,DB00648,1.42,1
MEGESTROL ACETATE,NILOTINIB,786O,DB00351,DB04868,1.43,1
PEMETREXED,IXABEPILONE,786O,DB00642,DB04845,1.47,1
FLUDARABINE BASE,IMIQUIMOD,786O,DB01073,DB00724,1.48,1
5-FU,THALIDOMIDE,786O,DB00544,DB01041,1.48,1
DACARBAZINE,THALIDOMIDE,786O,DB00851,DB01041,1.48,1
CABAZITAXEL,IMIQUIMOD,786O,DB06772,DB00724,1.48,1
METHOXSALEN,ERLOTINIB HYDROCHLORIDE,786O,DB00553,DB00530,1.49,1
ANASTROZOLE,BORTEZOMIB,786O,DB01217,DB00188,1.51,1
MEGESTROL ACETATE,FLUDARABINE BASE,786O,DB00351,DB01073,1.54,1
HYDROXYUREA,BORTEZOMIB,786O,DB01005,DB00188,1.55,1
IMIQUIMOD,BORTEZOMIB,786O,DB00724,DB00188,1.56,1
CABAZITAXEL,TENIPOSIDE,786O,DB06772,DB00444,1.56,1
MITOXANTRONE,CRIZOTINIB,786O,DB01204,DB08865,1.57,1
RALOXIFENE,TRETINOIN,786O,DB00481,DB00755,1.59,1
IMATINIB,HYDROXYUREA,786O,DB00619,DB01005,1.6,1
VISMODEGIB,METHOXSALEN,786O,DB08828,DB00553,1.61,1
VEMURAFENIB,AZACYTIDINE,786O,DB08881,DB00928,1.61,1
VEMURAFENIB,PAZOPANIB HYDROCHLORIDE,786O,DB08881,DB06589,1.61,1
CRIZOTINIB,BORTEZOMIB,786O,DB08865,DB00188,1.62,1
ZOLEDRONIC ACID,HYDROXYUREA,786O,DB00399,DB01005,1.63,1
PEMETREXED,TRETINOIN,786O,DB00642,DB00755,1.63,1
CRIZOTINIB,SUNITINIB,786O,DB08865,DB01268,1.63,1
TENIPOSIDE,LETROZOLE,786O,DB00444,DB01006,1.63,1
CABAZITAXEL,DACARBAZINE,786O,DB06772,DB00851,1.63,1
